"Provider Name","Category","Neighborhood","Address","Phone","Website","Has Website?","Age Range","Price Band","Google Rating","Review Count","Latitude","Longitude","Source","Source URL","Tier","Outreach Status","Contact Channel","Last Contacted","Notes"
"Kweller Prep Tutoring and Educational Services, Inc.","Academic / Tutoring","Forest Hills","108-22 Queens Blvd 2nd floor, Forest Hills, NY 11375","(800) 631-1757","https://www.kwellerprep.com/","Yes","","","4.9","359","40.7207797","-73.843285","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJBWJBLplgwokRcXCGwBc61Zg","B","Seeded","","","High review volume (359)"
"Dream City","Academic / Enrichment","Forest Hills","108-48 Queens Blvd, Forest Hills, NY 11375","(718) 880-2352","http://dreamcityfohi.com/","Yes","","","4.8","189","40.7205022","-73.8426936","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJCSpIJe1fwokRoTf38RhE15k","B","Seeded","","","Learning/enrichment center"
"JEI Learning Center","Academic / Tutoring","Forest Hills","112-28 Queens Blvd, Forest Hills, NY 11375","(718) 268-2890","https://jeilearning.com/ForestHills/","Yes","","","5","18","40.7176056","-73.8363727","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJjTPuzZ5gwokRZfsvMhiQ7bc","B","Seeded","","","National franchise"
"Mathnasium","Academic / Tutoring","Forest Hills","108-14 72nd Ave, Forest Hills, NY 11375","(718) 544-6284","https://www.mathnasium.com/math-centers/foresthillsny","Yes","","","4.9","43","40.7196594","-73.8421414","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJ35YvryBewokRJXdcpkLLNA8","B","Seeded","","","National franchise"
"Startline Academy Afterschool and Enrichment Center","Academic / After-school","Forest Hills","70-35 112th St, Forest Hills, NY 11375","(347) 766-7035","http://www.startlineacademy.org/","Yes","","","4.8","21","40.7233859","-73.8391999","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJPQPKpqxgwokRjjyQzwvalfY","B","Seeded","","",""
"CreativeKids Art Studio","Art","Forest Hills","105-33 66th Ave, Forest Hills, NY 11375","(614) 843-4400","http://www.creativekidsartstudio.com/","Yes","","","5","54","40.7301478","-73.8491505","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJoebvsi5fwokRehVcLz5COw4","B","Seeded","","","Out-of-state area code (614)"
"Dip N' Paint","Art","Forest Hills","108-15 65th Rd, Forest Hills, NY 11375","(347) 644-0065","http://www.dipnpaint.com/","Yes","","","5","41","40.7313708","-73.8479096","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJBcpeZ5hfwokRQErOTlPAVQ8","B","Seeded","","",""
"Learning Lab","Art","Forest Hills","96-21 69th Ave, Forest Hills, NY 11375","(929) 888-0100","https://www.learninglabny.com/","Yes","","","4.5","17","40.7173806","-73.8520966","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJB9X8vxBewokRVWPr_1SQ29A","B","Seeded","","","Maps mislabels as Flushing; zip = Forest Hills"
"The Art Nest","Art","Forest Hills","Inside PS 144, 69-20 Juno St, Forest Hills, NY 11375","","http://www.artnestny.com/","Yes","","","5","10","40.7150172","-73.8529002","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJp-ASiDtewokRIzI2lXstokA","B","Seeded","","","No phone listed; runs inside PS 144"
"Forest Hills' BEST After School & Summer Camp","Camp / After-school","Forest Hills","64-37 108th St, Forest Hills, NY 11375","(929) 360-7854","https://foresthillsafterschool.com/","Yes","","","5","9","40.7320683","-73.8488427","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJDSt9F6xfwokROm2pZ1WTfWI","B","Seeded","","",""
